Iteration,Minimum fractal Diff,Band with Min Diff,New Shape,New X
0,1.1763495032734994e-05,169,"(2000, 200)",3.4705114260270307
1,9.733462230876455e-06,188,"(2000, 199)",3.4705211594892615
2,3.1192746512420655e-05,160,"(2000, 198)",3.470489966742749
3,5.720667297426374e-05,155,"(2000, 197)",3.470432760069775
4,0.00017940972592045412,178,"(2000, 196)",3.4706121697956953
5,0.0002586480445141426,105,"(2000, 195)",3.470353521751181
6,0.0002489797100828639,108,"(2000, 194)",3.4701045420410983
7,0.00022371916331609398,149,"(2000, 193)",3.4703282612044144
8,0.0014245499948026819,102,"(2000, 192)",3.4689037112096117
9,0.00011961630740753293,140,"(2000, 191)",3.4690233275170193
10,0.001096420359564032,139,"(2000, 190)",3.4701197478765833
11,0.0013147875705978862,163,"(2000, 189)",3.4688049603059854
12,0.0011763942228921742,169,"(2000, 188)",3.4676285660830932
13,0.0011640564617581006,168,"(2000, 187)",3.466464509621335
14,0.0025800710194108234,102,"(2000, 186)",3.4638844386019243
15,0.0021638509874937206,150,"(2000, 185)",3.4617205876144306
16,0.00040800845989119594,172,"(2000, 184)",3.4621285960743218
17,0.00018760685782615028,102,"(2000, 183)",3.4619409892164956
18,8.83964819942129e-05,163,"(2000, 182)",3.4618525927345014
19,0.002743564728812764,102,"(2000, 181)",3.4591090280056886
20,0.0015042494148875818,103,"(2000, 180)",3.457604778590801
21,0.0013521980119834964,169,"(2000, 179)",3.4562525805788176
22,0.00030009499877747814,144,"(2000, 178)",3.45595248558004
23,0.0004067576389492622,141,"(2000, 177)",3.4563592432189894
24,0.001303309866840685,159,"(2000, 176)",3.4550559333521487
25,0.0019381802553430916,102,"(2000, 175)",3.4531177530968056
26,0.0013743474560756752,140,"(2000, 174)",3.45174340564073
27,0.0028291592670659504,139,"(2000, 173)",3.448914246373664
28,0.0021683463422621507,169,"(2000, 172)",3.446745900031402
29,0.0005724773617430401,161,"(2000, 171)",3.4461734226696588
30,0.003685606872220415,163,"(2000, 170)",3.4424878157974383
31,0.0010196097275474436,140,"(2000, 169)",3.441468206069891
32,0.002824743342037195,166,"(2000, 168)",3.4386434627278537
33,0.0005676491458488364,150,"(2000, 167)",3.438075813582005
34,0.0018990461033800976,149,"(2000, 166)",3.4361767674786248
35,0.0008875505569321263,84,"(2000, 165)",3.437064318035557
36,0.0029179249593433987,62,"(2000, 164)",3.4341463930762135
37,5.977661077416485e-05,157,"(2000, 163)",3.4340866164654393
38,0.0007766958632910992,161,"(2000, 162)",3.4333099206021482
39,0.0023993319358597276,150,"(2000, 161)",3.4309105886662885
40,0.002017334854258923,153,"(2000, 160)",3.4288932538120296
41,9.529507237759915e-05,134,"(2000, 159)",3.428797958739652
42,0.00016708120698982754,157,"(2000, 158)",3.428965039946642
43,0.0013577724806199676,149,"(2000, 157)",3.427607267466022
44,0.003368955754610603,151,"(2000, 156)",3.4242383117114112
45,0.0008924459557877462,152,"(2000, 155)",3.4233458657556235
46,0.0022239191191868457,137,"(2000, 154)",3.4211219466364367
47,0.0022286538109268506,143,"(2000, 153)",3.41889329282551
48,0.0005085426722795106,143,"(2000, 152)",3.4183847501532303
49,0.002559245488258366,145,"(2000, 151)",3.415825504664972
50,0.0027941596651168688,147,"(2000, 150)",3.413031344999855
51,0.0013395096284263275,59,"(2000, 149)",3.4116918353714287
52,0.0027481837281042587,71,"(2000, 148)",3.4089436516433245
53,7.468726009385307e-05,98,"(2000, 147)",3.4088689643832306
54,9.513732751376125e-06,136,"(2000, 146)",3.408878478115982
55,4.484220477918299e-05,143,"(2000, 145)",3.408833635911203
56,0.0003772116010716253,140,"(2000, 144)",3.408456424310131
57,0.002386411504578856,129,"(2000, 143)",3.4060700128055523
58,4.384199244089615e-05,55,"(2000, 142)",3.4061138547979932
59,0.0009827872660217452,126,"(2000, 141)",3.407096642064015
60,0.001978229066595727,136,"(2000, 140)",3.4051184129974192
61,0.0017199911812757485,127,"(2000, 139)",3.4033984218161435
