Bands,C,Gamma,Kernel,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
24,1,0.05,poly,0.927396878483835,0.9215750081353726,0.9166324327900532,0.910199911969376
25,1,0.05,poly,0.8000278706800446,0.7940123657663521,0.7670441792060152,0.7600192309424235
26,1,0.05,poly,0.8889353400222966,0.8883826879271071,0.872300754106444,0.8720924715370773
27,1,0.05,poly,0.9616778149386845,0.9560689879596486,0.9561653528896782,0.9498732255565292
28,1,0.05,poly,0.9427257525083612,0.935242434103482,0.9342703924325916,0.9258041972465655
29,1,0.05,poly,0.8759754738015607,0.875366091767003,0.8566991601181986,0.8562391511438424
30,1,0.05,poly,0.9425863991081382,0.9443540514155548,0.9342170573309869,0.936379384364973
31,1,0.05,poly,0.8474080267558528,0.8389196225187113,0.8241151786242501,0.8148819962249501
32,1,0.05,poly,0.947742474916388,0.9469573706475757,0.9400580708321593,0.9393125034302618
33,1,0.05,poly,0.9623745819397993,0.9580214773836642,0.956922534977818,0.9520061396575972
34,1,0.05,poly,0.903010033444816,0.895867230719167,0.8886909242123988,0.8808250576659788
35,1,0.05,poly,0.8570234113712375,0.8633257403189066,0.8351523666748495,0.8428550399656357
