Class,Iteration,Minimum fractal Diff,Band with Min Diff,New Shape,New X1
0,0,4.1013706434167574e-05,129,"(200,)",0.5020464419675643
0,1,0.00021813855948160654,119,"(199,)",0.5018283034080827
0,2,1.9673935334751924e-05,47,"(198,)",0.501808629472748
0,3,0.0005400108437852991,38,"(197,)",0.5012686186289627
0,4,8.406216904399688e-05,112,"(196,)",0.5011845564599187
0,5,0.00013550980150700553,50,"(195,)",0.5013200662614257
0,6,0.00033620138530587873,193,"(194,)",0.5016562676467315
0,7,0.00014941350954156274,107,"(193,)",0.50150685413719
0,8,0.00021961903631551039,75,"(192,)",0.5012872351008745
0,9,0.0009817580272046822,96,"(191,)",0.5003054770736698
0,10,0.00040318596408311924,121,"(190,)",0.49990229110958667
0,11,0.0006069034929654937,42,"(189,)",0.4992953876166212
0,12,0.0006811781763969016,37,"(188,)",0.4986142094402243
0,13,0.0005593106160480255,45,"(187,)",0.49805489882417625
0,14,0.0004566847100352378,38,"(186,)",0.497598214114141
0,15,0.0002449798401462644,38,"(185,)",0.49735323427399475
0,16,1.0206883816032963e-05,41,"(184,)",0.4973634411578108
0,17,0.0005437603773416066,145,"(183,)",0.4979072015351524
0,18,0.0001941596542012758,42,"(182,)",0.49810136118935366
0,19,6.26615831303412e-05,42,"(181,)",0.4980386996062233
0,20,0.00014128848115613213,38,"(180,)",0.49817998808737946
0,21,0.00011898089340134366,40,"(179,)",0.4982989689807808
0,22,2.9857975920477564e-05,38,"(178,)",0.4982691110048603
0,23,2.763619147927443e-05,70,"(177,)",0.4982967471963396
0,24,0.00015616968410037124,91,"(176,)",0.49845291688043997
0,25,0.000550844147288676,108,"(175,)",0.4979020727331513
0,26,0.000777852914011945,137,"(174,)",0.49867992564716324
0,27,0.0007404267798278297,36,"(173,)",0.4979394988673354
0,28,0.0005910181301952977,106,"(172,)",0.4973484807371401
0,29,0.0010482088153721536,118,"(171,)",0.49839668955251226
0,30,0.001143447534898978,78,"(170,)",0.4972532420176133
0,31,0.0007036221557494282,133,"(169,)",0.4979568641733627
0,32,3.083421232447092e-05,60,"(168,)",0.49792602996103824
0,33,0.0012500486481130113,116,"(167,)",0.49917607860915125
0,34,0.0010956160239551371,96,"(166,)",0.4980804625851961
0,35,0.001425429590463101,164,"(165,)",0.4995058921756592
0,36,0.0015133173475072037,66,"(164,)",0.497992574828152
0,37,0.0012243905776018749,57,"(163,)",0.49676818425055014
0,38,0.0013362634033888265,127,"(162,)",0.49810444765393896
0,39,0.0015359163889495653,100,"(161,)",0.4965685312649894
0,40,0.001335810383448599,4,"(160,)",0.4952327208815408
0,41,0.0012020638514443904,125,"(159,)",0.4964347847329852
0,42,0.0017428828939153318,74,"(158,)",0.49469190183906986
0,43,0.0017094219847830772,67,"(157,)",0.4929824798542868
0,44,0.0016876221230439636,63,"(156,)",0.4912948577312428
0,45,0.0018888974199859354,105,"(155,)",0.49318375515122875
0,46,0.001711523310459262,47,"(154,)",0.4914722318407695
0,47,0.00197601522112284,44,"(153,)",0.48949621661964665
0,48,0.0017472723348860297,118,"(152,)",0.4912434889545327
0,49,0.0015030822182661163,30,"(151,)",0.48974040673626656
0,50,0.00200236124958858,42,"(150,)",0.487738045486678
0,51,0.0017327541106405553,87,"(149,)",0.48600529137603743
0,52,0.0015737023957464458,69,"(148,)",0.484431588980291
0,53,0.001457782448465228,0,"(147,)",0.48297380653182576
0,54,0.001714083463602356,114,"(146,)",0.4846878899954281
0,55,0.0008382538621308222,61,"(145,)",0.4838496361332973
0,56,0.00213519413600588,62,"(144,)",0.4817144419972914
0,57,0.0011288060197865435,58,"(143,)",0.48058563597750487
0,58,0.0022491143086947885,110,"(142,)",0.48283475028619965
0,59,0.0020673402827283693,64,"(141,)",0.4807674100034713
0,60,0.001494944521137298,26,"(140,)",0.479272465482334
0,61,0.001918351231787463,61,"(139,)",0.4773541142505465
0,62,0.0017779381931481986,25,"(138,)",0.4755761760573983
0,63,0.0014511781661253886,55,"(137,)",0.47412499789127294
0,64,0.0007970828935029428,24,"(136,)",0.47332791499777
0,65,0.0018786453490260424,58,"(135,)",0.47144926964874395
0,66,0.0014692253043496195,37,"(134,)",0.46998004434439433
0,67,0.0010474589407460377,26,"(133,)",0.4689325854036483
0,68,0.0016535019379400606,55,"(132,)",0.46727908346570823
0,69,0.0013096009919894014,52,"(131,)",0.46596948247371883
0,70,0.0021918944761342707,24,"(130,)",0.46377758799758456
0,71,0.0011982489233086646,51,"(129,)",0.4625793390742759
0,72,0.0022276361754291485,69,"(128,)",0.46035170289884675
0,73,0.0014895089262735861,51,"(127,)",0.45886219397257316
0,74,0.002195638237598052,100,"(126,)",0.4610578322101712
0,75,0.0014553336142716367,23,"(125,)",0.4596024985958996
0,76,0.0024537283941380994,69,"(124,)",0.4571487702017615
0,77,0.0022658855355412455,20,"(123,)",0.45488288466622023
0,78,0.0022770636137723343,48,"(122,)",0.4526058210524479
0,79,0.002583429165829376,60,"(121,)",0.4500223918866185
0,80,0.0026457462245984,94,"(120,)",0.4526681381112169
0,81,0.002542427233062472,22,"(119,)",0.45012571087815445
0,82,0.0025961351808990174,47,"(118,)",0.44752957569725543
0,83,0.002740722183597666,61,"(117,)",0.44478885351365777
0,84,0.003097181580268449,21,"(116,)",0.4416916719333893
0,85,0.0032991988920331172,30,"(115,)",0.4383924730413562
0,86,0.0026209499062297414,56,"(114,)",0.43577152313512646
0,87,0.00320879299117216,57,"(113,)",0.4325627301439543
0,88,0.00289205042620283,2,"(112,)",0.42967067971775147
0,89,0.003337608729241992,76,"(111,)",0.43300828844699346
0,90,0.0031735570421939086,9,"(110,)",0.42983473140479955
0,91,0.0034643797297623236,84,"(109,)",0.4332991111345619
0,92,0.0033792169779510717,39,"(108,)",0.4299198941566108
0,93,0.0031508556275217647,10,"(107,)",0.42676903852908904
0,94,0.003889968623456974,16,"(106,)",0.42287906990563207
0,95,0.0038216812764821917,76,"(105,)",0.42670075118211426
0,96,0.003427628314611908,26,"(104,)",0.42327312286750235
0,97,0.0037073805120486636,82,"(103,)",0.426980503379551
0,98,0.0005805337433635871,76,"(102,)",0.4311226114712802
0,99,0.003474977407841584,10,"(101,)",0.43133299694220717
0,100,0.003700708851751222,44,"(100,)",0.4350337057939584
0,101,0.0013420179573730984,62,"(99,)",0.44800010100393123
0,102,0.00014513659403214696,61,"(98,)",0.4478549644098991
0,103,0.003739607325383365,51,"(97,)",0.45174017017284335
0,104,0.0037966539898009466,3,"(96,)",0.4479435161830424
0,105,0.003085674862178922,55,"(95,)",0.4298356804562039
0,106,0.004438749660300834,48,"(94,)",0.42539693079590307
0,107,0.000948737279360623,4,"(93,)",0.41868722129752106
0,108,0.004502453023568109,1,"(92,)",0.41418476827395295
0,109,0.003014652303253762,5,"(91,)",0.4088668433767866
0,110,0.002049102879808251,88,"(90,)",0.40681774049697833
0,111,0.0001876699271696758,69,"(89,)",0.4153809574297201
0,112,0.0010474700060950637,77,"(88,)",0.42508068858571285
0,113,0.0018106296152091694,30,"(87,)",0.4276141275932202
0,114,0.004032256830998893,20,"(86,)",0.4235818707622213
0,115,0.0006657099944602507,69,"(85,)",0.42424758075668156
0,116,0.003932883925648389,11,"(84,)",0.428736464474461
0,117,0.0018470425494955256,40,"(83,)",0.42291143025677974
0,118,0.0036692175418731043,17,"(82,)",0.41924221271490664
0,119,0.004407384596246122,6,"(81,)",0.411946830191628
0,120,0.003770391228055614,0,"(80,)",0.40817643896357236
0,121,0.0033979486701092854,63,"(79,)",0.4047784902934631
0,122,0.004515508965514059,8,"(78,)",0.41255195645071085
0,123,0.00024653692595150156,75,"(77,)",0.41279849337666236
0,124,0.0022284435030464067,62,"(76,)",0.42260646681483977
0,125,0.004618398291592718,15,"(75,)",0.425368468560349
0,126,0.0023843651502860053,71,"(74,)",0.427752833710635
0,127,0.0054386462105087685,35,"(73,)",0.4299965296543538
0,128,0.0052496974707639255,11,"(72,)",0.4247468321835899
0,129,0.003650856560178717,55,"(71,)",0.4283976887437686
0,130,0.005256696036648079,7,"(70,)",0.42703551798674133
0,131,0.005490810935640689,5,"(69,)",0.42154470705110064
0,132,0.005748039055829879,52,"(68,)",0.4272927461069305
0,133,0.003995813014221472,7,"(67,)",0.4192618068573634
0,134,0.0037663195366041125,16,"(66,)",0.4154954873207593
0,135,0.0016887747574132472,42,"(65,)",0.4141554646146897
0,136,0.005373138774067698,7,"(64,)",0.41866103966537266
0,137,0.0053183718324814055,47,"(63,)",0.42397941149785406
0,138,0.004654758385136626,19,"(62,)",0.41932465311271744
0,139,0.005892342985076737,17,"(61,)",0.4134323101276407
0,140,0.005813813506783727,27,"(60,)",0.407618496620857
0,141,0.0003054761180871779,14,"(59,)",0.40792397273894415
0,142,0.00026547583253672125,15,"(58,)",0.3994335651627474
0,143,0.0055049128341812525,38,"(57,)",0.39639189916496864
0,144,0.003127556722552771,50,"(56,)",0.39326434244241587
0,145,0.002938293979699025,4,"(55,)",0.39032604846271685
0,146,0.0020164957600616318,2,"(54,)",0.3980108738262613
0,147,0.007234188561528576,21,"(53,)",0.39590745966811236
0,148,0.0009140276627443988,48,"(52,)",0.3716288957464951
0,149,0.0006659980889762718,21,"(51,)",0.37096289765751883
0,150,0.0005625573195759959,17,"(50,)",0.3571332205140618
0,151,0.00035146445871647725,45,"(49,)",0.38433847993221587
0,152,0.0012344026464362612,9,"(48,)",0.3970497275676631
0,153,4.9899520537188824e-05,11,"(47,)",0.31868641070506076
0,154,0.0028648568923795303,4,"(46,)",0.31582155381268123
0,155,0.005321545618627188,15,"(45,)",0.3665706556615376
0,156,0.0041939463873457705,32,"(44,)",0.376809057874341
0,157,0.005131124488268246,3,"(43,)",0.37167793338607275
0,158,0.0021576289913763924,19,"(42,)",0.3435121382716946
0,159,0.000321205708039507,23,"(41,)",0.34319093256365507
0,160,0.0022239197056037607,2,"(40,)",0.3520101227447929
0,161,0.0003097414781633723,17,"(39,)",0.31407897648065974
0,162,0.0008427381167160908,4,"(38,)",0.3024919467233212
0,163,0.0010945998953472147,33,"(37,)",0.301397346827974
0,164,0.001327563414323607,10,"(36,)",0.3189202746932181
0,165,0.0108809979620067,12,"(35,)",0.32373095210479885
0,166,0.011297736050026652,11,"(34,)",0.3350286881548255
0,167,0.007855053543204316,22,"(33,)",0.35036704621641657
0,168,0.014722586844669538,0,"(32,)",0.33564445937174703
0,169,0.000715908510420693,13,"(31,)",0.3363603678821677
0,170,0.006023914732873031,21,"(30,)",0.20568423908754965
0,171,0.009105272987461832,17,"(29,)",0.3174660330600899
0,172,0.0022766004483363855,17,"(28,)",0.3332978619668164
0,173,0.0007663013160082999,6,"(27,)",0.28712791506294966
0,174,0.01445194157861146,4,"(26,)",0.33703288392548236
0,175,0.003727652433022949,13,"(25,)",0.2210203098858429
0,176,0.016489737156581225,2,"(24,)",0.25240944300229234
0,177,0.005214066015239577,13,"(23,)",0.19612535502439524
0,178,0.001198945990236927,5,"(22,)",0.24025971816666086
0,179,0.0038117479011716138,14,"(21,)",0.24407146606783248
0,180,0.011735221546729402,7,"(20,)",0.2986314258101787
0,181,0.004869997569829532,11,"(19,)",0.30350142338000824
0,182,0.027762725436177693,11,"(18,)",0.34844339341510583
0,183,0.018987146075996997,10,"(17,)",0.3830891216169113
0,184,0.0014940193730166307,14,"(16,)",0.4259483645229018
0,185,0.010577331110762311,2,"(15,)",0.4365256956336641
0,186,0.0015699968980157353,11,"(14,)",0.42534783312593316
0,187,0.03130505813828588,8,"(13,)",0.49829242517753297
0,188,0.006967293493696791,0,"(12,)",0.49487163543438734
0,189,0.016073043996633896,9,"(11,)",0.5005437473951189
0,190,0.03036615553337052,3,"(10,)",0.5476170564618348
0,191,0.00760702904235544,5,"(9,)",0.5831127021491235
0,192,0.0006283716362988079,6,"(8,)",0.5837410737854223
0,193,0.029219268061503767,3,"(7,)",0.5545218057239185
0,194,0.047002701721179596,1,"(6,)",0.5075191040027389
 , , , , , 
1,0,1.864228615011676e-05,164,"(200,)",0.609453474862016
1,1,1.2095404745005034e-05,197,"(199,)",0.609465570266761
1,2,5.1323379306689176e-05,82,"(198,)",0.6095168936460676
1,3,5.153866104667948e-06,128,"(197,)",0.609511739779963
1,4,1.014589817494027e-06,94,"(196,)",0.6095127543697805
1,5,3.8978155024738115e-06,40,"(195,)",0.609516652185283
1,6,2.5100495276153545e-05,107,"(194,)",0.6094915516900068
1,7,3.071214730088201e-06,139,"(193,)",0.6094884804752767
1,8,8.605634306046994e-06,139,"(192,)",0.6094798748409707
1,9,0.0002209836057434078,91,"(191,)",0.6092588912352273
1,10,8.556215821853286e-06,81,"(190,)",0.6092503350194054
1,11,0.00034363701904360777,122,"(189,)",0.6089066980003618
1,12,0.0002404295951599078,37,"(188,)",0.6086662684052019
1,13,4.7328791081713284e-05,90,"(187,)",0.6086189396141202
1,14,0.0006107133550515842,64,"(186,)",0.6080082262590686
1,15,0.0005429384547618321,148,"(185,)",0.6085511647138304
1,16,0.0004939581033651663,67,"(184,)",0.6080572066104653
1,17,0.0005797352664161926,148,"(183,)",0.6086369418768814
1,18,0.00016814411571408616,79,"(182,)",0.6084687977611674
1,19,0.0005221585046772947,145,"(181,)",0.6089909562658447
1,20,0.00022417117093520567,179,"(180,)",0.6087667850949094
1,21,0.0004022070372283748,117,"(179,)",0.6083645780576811
1,22,0.00041124005667814156,62,"(178,)",0.6079533380010029
1,23,0.0006626341846245332,142,"(177,)",0.6086159721856275
1,24,0.0004466240476499461,22,"(176,)",0.6081693481379775
1,25,0.0007306178211493597,114,"(175,)",0.6074387303168282
1,26,0.000896161442554555,113,"(174,)",0.6065425688742736
1,27,0.0008433569987770229,38,"(173,)",0.6056992118754966
1,28,0.000997256321521478,138,"(172,)",0.6066964681970181
1,29,0.0008037225338362042,3,"(171,)",0.6058927456631819
1,30,0.0011688941548597676,74,"(170,)",0.6047238515083221
1,31,0.0013583184849845775,88,"(169,)",0.6060821699933067
1,32,0.0008595296548714604,103,"(168,)",0.6052226403384352
1,33,0.0009282236497851759,59,"(167,)",0.60429441668865
1,34,0.0013979481559512896,165,"(166,)",0.6056923648446013
1,35,0.0011487066889530606,1,"(165,)",0.6045436581556483
1,36,0.001284132065090593,118,"(164,)",0.6058277902207388
1,37,0.001241659723464017,95,"(163,)",0.6045861304972748
1,38,0.001542016452293682,64,"(162,)",0.6030441140449811
1,39,0.0006945368266162433,77,"(161,)",0.6023495772183649
1,40,0.0016305391485647025,23,"(160,)",0.6007190380698002
1,41,0.0018331772326524165,35,"(159,)",0.5988858608371478
1,42,0.0016263485960864577,69,"(158,)",0.5972595122410613
1,43,0.0016190896761103524,41,"(157,)",0.595640422564951
1,44,0.0010570934698274081,70,"(156,)",0.5945833290951236
1,45,0.001915193804137405,67,"(155,)",0.5926681352909862
1,46,0.0017865318436823818,33,"(154,)",0.5908816034473038
1,47,0.0017155604306704486,66,"(153,)",0.5891660430166333
1,48,0.0015802277271371734,89,"(152,)",0.5875858152894962
1,49,0.0016376507013678987,35,"(151,)",0.5859481645881283
1,50,0.0018993888301130912,79,"(150,)",0.5878475534182414
1,51,0.0015455910345741897,59,"(149,)",0.5863019623836672
1,52,0.001813214911285277,67,"(148,)",0.5844887474723819
1,53,0.0016946050440372895,65,"(147,)",0.5827941424283446
1,54,0.001816355695934413,41,"(146,)",0.5809777867324102
1,55,0.0022038601812215397,113,"(145,)",0.5831816469136317
1,56,0.0018873103199437136,34,"(144,)",0.581294336593688
1,57,0.0020149595928055097,43,"(143,)",0.5792793770008825
1,58,0.0022032478882789697,110,"(142,)",0.5814826248891615
1,59,0.002003847737490072,55,"(141,)",0.5794787771516714
1,60,0.0022473655108714574,81,"(140,)",0.5772314116407999
1,61,0.002550519606189461,26,"(139,)",0.5746808920346105
1,62,0.0022143194958397228,32,"(138,)",0.5724665725387708
1,63,0.0023457976048316675,8,"(137,)",0.5701207749339391
1,64,0.0022711456073973846,18,"(136,)",0.5678496293265417
1,65,0.0020970675306253295,58,"(135,)",0.5657525617959164
1,66,0.0025458212127509317,104,"(134,)",0.5682983830086673
1,67,0.002146208233354985,57,"(133,)",0.5661521747753123
1,68,0.002089543059922816,35,"(132,)",0.5640626317153895
1,69,0.0024828670864112112,87,"(131,)",0.5665454988018007
1,70,0.0021450163065597216,40,"(130,)",0.564400482495241
1,71,0.002755057787178883,73,"(129,)",0.5616454247080621
1,72,0.002088081224775995,38,"(128,)",0.5595573434832861
1,73,0.0027891545598863754,40,"(127,)",0.5567681889233997
1,74,0.0026883248272417948,91,"(126,)",0.5594565137506415
1,75,0.0023302410174915744,96,"(125,)",0.5617867547681331
1,76,0.0020930026651780897,17,"(124,)",0.559693752102955
1,77,0.002368621048211894,98,"(123,)",0.5620623731511669
1,78,0.002364038235355026,94,"(122,)",0.5644264113865219
1,79,0.0022391341878746918,38,"(121,)",0.5621872771986473
1,80,0.0022794223693204385,50,"(120,)",0.5599078548293268
1,81,0.002489311834195429,70,"(119,)",0.5574185429951314
