Class,Iteration,Minimum fractal Diff,Band with Min Diff,New Shape,New X1
0,0,4.1013706434167574e-05,129,"(200,)",0.5020464419675643
0,1,0.00021813855948160654,119,"(199,)",0.5018283034080827
0,2,1.9673935334751924e-05,47,"(198,)",0.501808629472748
0,3,0.0005400108437852991,38,"(197,)",0.5012686186289627
0,4,8.406216904399688e-05,112,"(196,)",0.5011845564599187
0,5,0.00013550980150700553,50,"(195,)",0.5013200662614257
0,6,0.00033620138530587873,193,"(194,)",0.5016562676467315
0,7,0.00014941350954156274,107,"(193,)",0.50150685413719
0,8,0.00021961903631551039,75,"(192,)",0.5012872351008745
0,9,0.000895546049669127,122,"(191,)",0.5003916890512053
0,10,0.00044003813964416105,41,"(190,)",0.4999516509115612
0,11,0.0005347488243591658,120,"(189,)",0.499416902087202
0,12,0.0008388529545759194,42,"(188,)",0.4985780491326261
0,13,0.001154242057107957,37,"(187,)",0.49742380707551814
0,14,0.0004789140853070917,40,"(186,)",0.49694489299021105
0,15,0.0006887377349075186,44,"(185,)",0.49625615525530353
0,16,2.94507781807285e-05,38,"(184,)",0.49628560603348426
0,17,0.00018407866304070986,38,"(183,)",0.49610152737044355
0,18,0.00015781174933660047,89,"(182,)",0.49594371562110695
0,19,0.00011140844378593195,40,"(181,)",0.4960551240648929
0,20,0.0005197536788403845,41,"(180,)",0.49657487774373327
0,21,0.00018715149337117376,40,"(179,)",0.4963877262503621
0,22,0.000450898461130389,36,"(178,)",0.4968386247114925
0,23,7.962478347933732e-05,38,"(177,)",0.49675899992801315
0,24,4.661531023925081e-05,121,"(176,)",0.4968056152382524
0,25,0.0006029040875719094,121,"(175,)",0.4974085193258243
0,26,0.00045294715450261425,173,"(174,)",0.4978614664803269
0,27,0.0004463220150052738,172,"(173,)",0.4983077884953322
0,28,0.00023164545150711202,108,"(172,)",0.4980761430438251
0,29,0.001220771474480964,170,"(171,)",0.49929691451830605
0,30,0.0009134428235338943,119,"(170,)",0.5002103573418399
0,31,0.0003530448164740796,67,"(169,)",0.49985731252536586
0,32,0.0012636621977614726,79,"(168,)",0.4985936503276044
0,33,0.0008157096112308415,98,"(167,)",0.49777794071637355
0,34,0.0013313775472894585,165,"(166,)",0.499109318263663
0,35,0.00124498544074092,68,"(165,)",0.4978643328229221
0,36,0.001188870514381546,103,"(164,)",0.49667546230854054
0,37,0.0014297627097663579,31,"(163,)",0.4952456995987742
0,38,0.001688042176383242,161,"(162,)",0.4969337417751574
0,39,0.0017039512060955664,59,"(161,)",0.49522979056906186
0,40,0.0016958045991771198,9,"(160,)",0.49353398596988474
0,41,0.001794736138387265,67,"(159,)",0.49173924983149747
0,42,0.0015620179829771708,9,"(158,)",0.4901772318485203
0,43,0.002340748720229935,72,"(157,)",0.48783648312829037
0,44,0.001827249740925907,42,"(156,)",0.48600923338736446
0,45,0.0015393775743337001,46,"(155,)",0.48446985581303076
0,46,0.002156333135049815,121,"(154,)",0.4866261889480806
0,47,0.001987521681574178,60,"(153,)",0.4846386672665064
0,48,0.0018656121711538298,4,"(152,)",0.48277305509535257
0,49,0.002099592441177023,19,"(151,)",0.48067346265417554
0,50,0.002128581757356973,77,"(150,)",0.4828020444115325
0,51,0.0018484508832291024,39,"(149,)",0.4809535935283034
0,52,0.001980521523931855,60,"(148,)",0.47897307200437156
0,53,0.001932158006306861,62,"(147,)",0.4770409139980647
0,54,0.001991520310939854,65,"(146,)",0.47504939368712484
0,55,0.0020386802568621576,82,"(145,)",0.4730107134302627
0,56,0.001610624060692234,57,"(144,)",0.47140008936957045
0,57,0.001987910345473576,24,"(143,)",0.4694121790240969
0,58,0.001197887794450292,0,"(142,)",0.4682142912296466
0,59,0.0005599011229371897,48,"(141,)",0.4646789142670194
0,60,0.0014335207546147255,60,"(140,)",0.4632453935124047
0,61,0.001221694443821808,21,"(139,)",0.46202369906858287
0,62,5.537129585320155e-05,55,"(138,)",0.45922955756338507
0,63,0.0019060661365599696,52,"(137,)",0.4573234914268251
0,64,0.0015894929105845779,55,"(136,)",0.4557339985162405
0,65,0.0002650860407388822,53,"(135,)",0.45262419712501506
0,66,0.0010841955116179247,53,"(134,)",0.45154000161339714
0,67,0.00038331473861696885,21,"(133,)",0.45115668687478017
0,68,0.002124016081421931,21,"(132,)",0.44903267079335824
0,69,0.00122643678227774,51,"(131,)",0.4478062340110805
0,70,0.0009244804191776423,22,"(130,)",0.44688175359190285
0,71,0.0006035027419938888,49,"(129,)",0.44627825084990896
0,72,0.002207783949065234,44,"(128,)",0.44407046690084373
0,73,0.00240889455902088,32,"(127,)",0.44166157234182285
0,74,0.0020022671604773556,20,"(126,)",0.4396593051813455
0,75,0.00259823903463291,18,"(125,)",0.4370610661467126
0,76,0.002663945314213323,10,"(124,)",0.43439712083249926
0,77,0.002190511323732658,91,"(123,)",0.4365876321562319
0,78,0.002383067443525788,61,"(122,)",0.43420456471270613
0,79,0.002159713823290832,4,"(121,)",0.4320448508894153
0,80,0.0027551715420504053,89,"(120,)",0.4348000224314657
0,81,0.002915865270739282,88,"(119,)",0.437715887702205
0,82,0.0027740900279896175,10,"(118,)",0.43494179767421537
0,83,0.00314068690719177,87,"(117,)",0.43808248458140714
0,84,0.0030702834706927695,71,"(116,)",0.4411527680520999
0,85,0.002718712448686267,61,"(115,)",0.43843405560341364
0,86,0.00292034793670809,41,"(114,)",0.43551370766670555
0,87,0.0029067624939769776,53,"(113,)",0.4326069451727286
0,88,0.0029324923567218275,56,"(112,)",0.42967445281600675
0,89,0.002259120493263489,41,"(111,)",0.42741533232274326
0,90,0.0021088240196603936,26,"(110,)",0.42530650830308286
0,91,0.001763892959101676,55,"(109,)",0.4235426153439812
0,92,0.0032728411961148174,16,"(108,)",0.4182787024360469
0,93,0.0033503857290933525,77,"(107,)",0.4216290881651403
0,94,0.0011462411808056405,31,"(106,)",0.4172941677879028
0,95,0.0031679037612974414,57,"(105,)",0.40311053891355286
0,96,0.0031849403401333354,49,"(104,)",0.3999255985734195
0,97,0.003411749734119285,51,"(103,)",0.39651384883930024
0,98,0.003338970035577815,74,"(102,)",0.39985281887487806
0,99,0.0013200026703286127,76,"(101,)",0.39853281620454944
0,100,0.003966240810886756,15,"(100,)",0.4020688292949306
0,101,0.0032389060945095527,66,"(99,)",0.4074390576923852
0,102,0.0038521908174626307,15,"(98,)",0.40358686687492257
0,103,0.0015687428055301544,8,"(97,)",0.39822818779556207
0,104,0.0032217142322046866,0,"(96,)",0.3950064735633574
0,105,0.002829770345962823,89,"(95,)",0.402365334077546
0,106,0.00025938997625074567,7,"(94,)",0.3980924521523196
0,107,0.0008411746611792226,46,"(93,)",0.3932031905912446
0,108,0.002309402364530977,14,"(92,)",0.38736198402268257
0,109,0.0008052076311563794,86,"(91,)",0.38816719165383895
0,110,0.001656970497430632,51,"(90,)",0.38539973734009386
0,111,0.003945782088637606,11,"(89,)",0.38145395525145626
0,112,0.0018452830326103897,3,"(88,)",0.3754619889007614
0,113,0.0006547487684852582,75,"(87,)",0.3748072401322761
0,114,0.0005474894396165775,55,"(86,)",0.3841654197440202
0,115,0.0005184770260820426,1,"(85,)",0.3923128850085751
0,116,0.003531510199464294,15,"(84,)",0.38338126771775866
0,117,0.003804736523425334,59,"(83,)",0.387186004241184
0,118,0.000904426268289793,4,"(82,)",0.3818528032580361
0,119,0.0020371618635031674,3,"(81,)",0.37520374410943896
0,120,0.00020665943825992628,38,"(80,)",0.37064803478484043
0,121,0.0010326925381836105,36,"(79,)",0.36478323342452174
0,122,0.0016365541990456811,5,"(78,)",0.3664197876235674
0,123,0.0004517327290195494,49,"(77,)",0.36596805489454787
0,124,0.001576339643663327,15,"(76,)",0.3590635489804896
0,125,0.002208629549682095,50,"(75,)",0.3667919082090738
0,126,0.004156542856077028,55,"(74,)",0.37094845106515084
0,127,0.0037782954238959054,54,"(73,)",0.37472674648904675
0,128,0.001962190435168043,43,"(72,)",0.38355062873760504
0,129,0.00016407667812595728,19,"(71,)",0.3336886045824994
0,130,0.005041517628193992,63,"(70,)",0.37274921615425344
0,131,0.005378879172877604,5,"(69,)",0.3831887378372028
0,132,0.00043405620501446585,11,"(68,)",0.3836227940422173
0,133,0.0008150235849709864,58,"(67,)",0.38661004505327484
0,134,0.0012135260876601772,28,"(66,)",0.40501438855311395
0,135,0.003406494211140698,49,"(65,)",0.3680812250820289
0,136,0.004208107680644335,11,"(64,)",0.3900515558256221
0,137,0.0002588983933139999,29,"(63,)",0.38438706993130733
0,138,0.0013233369055064559,51,"(62,)",0.39381030023240277
0,139,0.0004507355101467936,33,"(61,)",0.36921205884188657
0,140,0.0021934784548895414,15,"(60,)",0.32373210597220703
0,141,0.0031864896568928325,0,"(59,)",0.35079409029737085
0,142,0.0027849870598049553,2,"(58,)",0.3480091032375659
0,143,0.0014488539489302954,1,"(57,)",0.3406222696197275
0,144,0.0007289485651272853,34,"(56,)",0.28631398125277246
0,145,0.0007727564267685505,1,"(55,)",0.3193806035548855
0,146,0.0026383769979437255,42,"(54,)",0.32201898055282924
0,147,0.0008892402339761851,15,"(53,)",0.2877558192048005
0,148,0.001799605361098744,39,"(52,)",0.28595621384370173
0,149,0.0005424362164110352,5,"(51,)",0.26925249396379575
0,150,0.0009998574204858057,10,"(50,)",0.26024806703738235
0,151,0.0004262108560684763,24,"(49,)",0.2839769812813511
0,152,0.0001327449341360365,2,"(48,)",0.24478868347420984
0,153,0.0007781698188065178,2,"(47,)",0.22316715449703842
0,154,0.00025885110596163274,37,"(46,)",0.2500083238230515
0,155,0.00014266347637484356,5,"(45,)",0.23997534445214816
0,156,0.00013947158530988601,22,"(44,)",0.23983587286683827
0,157,0.0005612002646744885,34,"(43,)",0.25789555883974863
0,158,0.00039289137990944356,11,"(42,)",0.2715698639116412
0,159,2.0174199227562806e-05,5,"(41,)",0.25811694325313483
0,160,7.988718856544175e-06,4,"(40,)",0.2581249319719914
0,161,0.0008208798190637578,30,"(39,)",0.25467770829040104
0,162,0.0001521445290878498,31,"(38,)",0.2703184290804992
0,163,0.0023960946008732553,9,"(37,)",0.2918328873045322
0,164,0.00023684132178936057,2,"(36,)",0.2920697286263216
0,165,0.0003495483135510513,34,"(35,)",0.29241927693987263
0,166,2.4629384554164524e-05,14,"(34,)",0.29239464755531847
0,167,0.00010262699018154242,32,"(33,)",0.2924972745455
0,168,0.0010751197173347604,25,"(32,)",0.29357239426283477
0,169,0.0018672939232305397,1,"(31,)",0.29170510033960423
0,170,9.039598425120143e-05,29,"(30,)",0.29179549632385543
0,171,0.0006709952525910667,12,"(29,)",0.29112450107126436
0,172,0.0005716355358854064,27,"(28,)",0.29169613660714977
0,173,0.0002176254294855573,21,"(27,)",0.2914785111776642
0,174,0.004134537192470478,20,"(26,)",0.28734397398519373
0,175,0.00048687244007117325,12,"(25,)",0.2818139641035124
0,176,0.004932740820353554,19,"(24,)",0.27433940573060556
0,177,0.0023819332770944057,15,"(23,)",0.26480456037177685
0,178,0.005928128429928015,14,"(22,)",0.28044192986991645
0,179,0.0019611605674402233,14,"(21,)",0.3711089665861031
0,180,0.005763467602606209,3,"(20,)",0.3288236810131873
0,181,0.0017280126173188637,1,"(19,)",0.3458848096942286
0,182,0.0007240493152006477,4,"(18,)",0.3603779411680597
0,183,0.0011826672869343913,3,"(17,)",0.3410197027763861
0,184,0.010520503330124775,12,"(16,)",0.3945371174712722
0,185,0.0007103389435560437,5,"(15,)",0.4238896189153675
0,186,0.001857607381636095,13,"(14,)",0.4505913440310121
0,187,0.01144437824591632,2,"(13,)",0.45774766299585395
0,188,0.004865588771410578,8,"(12,)",0.4754754942583011
0,189,0.01904725359447157,10,"(11,)",0.5396368134923979
0,190,0.0001258932833506643,0,"(10,)",0.5395109202090472
0,191,0.017254953643676574,8,"(9,)",0.5095250877164041
0,192,0.030409412058136964,2,"(8,)",0.6010451398122004
0,193,0.04047430601805457,2,"(7,)",0.5551390796351866
0,194,0.021243435398517807,5,"(6,)",0.5978062602236033
 , , , , , 
1,0,1.864228615011676e-05,164,"(200,)",0.609453474862016
1,1,1.2095404745005034e-05,197,"(199,)",0.609465570266761
1,2,5.1323379306689176e-05,82,"(198,)",0.6095168936460676
1,3,5.153866104667948e-06,128,"(197,)",0.609511739779963
1,4,1.014589817494027e-06,94,"(196,)",0.6095127543697805
1,5,3.8978155024738115e-06,40,"(195,)",0.609516652185283
1,6,2.5100495276153545e-05,107,"(194,)",0.6094915516900068
1,7,3.071214730088201e-06,139,"(193,)",0.6094884804752767
1,8,8.605634306046994e-06,139,"(192,)",0.6094798748409707
1,9,0.0002209836057434078,91,"(191,)",0.6092588912352273
1,10,8.556215821853286e-06,81,"(190,)",0.6092503350194054
1,11,0.00034363701904360777,122,"(189,)",0.6089066980003618
1,12,0.0002404295951599078,37,"(188,)",0.6086662684052019
1,13,4.7328791081713284e-05,90,"(187,)",0.6086189396141202
1,14,0.0006107133550515842,64,"(186,)",0.6080082262590686
1,15,0.0005429384547618321,148,"(185,)",0.6085511647138304
1,16,0.0004939581033651663,67,"(184,)",0.6080572066104653
1,17,0.0005797352664161926,148,"(183,)",0.6086369418768814
1,18,0.00016814411571408616,79,"(182,)",0.6084687977611674
1,19,0.0005221585046772947,145,"(181,)",0.6089909562658447
1,20,0.00022417117093520567,179,"(180,)",0.6087667850949094
1,21,0.0004022070372283748,117,"(179,)",0.6083645780576811
1,22,0.00041124005667814156,62,"(178,)",0.6079533380010029
1,23,0.0006626341846245332,142,"(177,)",0.6086159721856275
1,24,0.0004466240476499461,22,"(176,)",0.6081693481379775
1,25,0.0007306178211493597,114,"(175,)",0.6074387303168282
1,26,0.000896161442554555,113,"(174,)",0.6065425688742736
1,27,0.0008433569987770229,38,"(173,)",0.6056992118754966
1,28,0.000997256321521478,138,"(172,)",0.6066964681970181
1,29,0.0008037225338362042,3,"(171,)",0.6058927456631819
1,30,0.0011688941548597676,74,"(170,)",0.6047238515083221
1,31,0.0013583184849845775,88,"(169,)",0.6060821699933067
1,32,0.0008595296548714604,103,"(168,)",0.6052226403384352
1,33,0.0009282236497851759,59,"(167,)",0.60429441668865
1,34,0.0013979481559512896,165,"(166,)",0.6056923648446013
1,35,0.0011487066889530606,1,"(165,)",0.6045436581556483
1,36,0.001284132065090593,118,"(164,)",0.6058277902207388
1,37,0.001241659723464017,95,"(163,)",0.6045861304972748
1,38,0.001542016452293682,64,"(162,)",0.6030441140449811
1,39,0.0006945368266162433,77,"(161,)",0.6023495772183649
1,40,0.0016305391485647025,23,"(160,)",0.6007190380698002
1,41,0.0018331772326524165,35,"(159,)",0.5988858608371478
1,42,0.0016263485960864577,69,"(158,)",0.5972595122410613
1,43,0.0016190896761103524,41,"(157,)",0.595640422564951
1,44,0.0010570934698274081,70,"(156,)",0.5945833290951236
1,45,0.001915193804137405,67,"(155,)",0.5926681352909862
1,46,0.0017865318436823818,33,"(154,)",0.5908816034473038
1,47,0.0017155604306704486,66,"(153,)",0.5891660430166333
1,48,0.0015802277271371734,89,"(152,)",0.5875858152894962
1,49,0.0016376507013678987,35,"(151,)",0.5859481645881283
1,50,0.0018993888301130912,79,"(150,)",0.5878475534182414
1,51,0.0015455910345741897,59,"(149,)",0.5863019623836672
1,52,0.001813214911285277,67,"(148,)",0.5844887474723819
1,53,0.0016946050440372895,65,"(147,)",0.5827941424283446
1,54,0.001816355695934413,41,"(146,)",0.5809777867324102
1,55,0.0022038601812215397,113,"(145,)",0.5831816469136317
1,56,0.0018873103199437136,34,"(144,)",0.581294336593688
1,57,0.0020149595928055097,43,"(143,)",0.5792793770008825
1,58,0.0022032478882789697,110,"(142,)",0.5814826248891615
1,59,0.002003847737490072,55,"(141,)",0.5794787771516714
1,60,0.0022473655108714574,81,"(140,)",0.5772314116407999
1,61,0.002550519606189461,26,"(139,)",0.5746808920346105
1,62,0.0022143194958397228,32,"(138,)",0.5724665725387708
1,63,0.0023457976048316675,8,"(137,)",0.5701207749339391
1,64,0.0022711456073973846,18,"(136,)",0.5678496293265417
1,65,0.0020970675306253295,58,"(135,)",0.5657525617959164
1,66,0.0025458212127509317,104,"(134,)",0.5682983830086673
1,67,0.002146208233354985,57,"(133,)",0.5661521747753123
1,68,0.002089543059922816,35,"(132,)",0.5640626317153895
1,69,0.0024828670864112112,87,"(131,)",0.5665454988018007
1,70,0.0021450163065597216,40,"(130,)",0.564400482495241
1,71,0.002755057787178883,73,"(129,)",0.5616454247080621
1,72,0.002088081224775995,38,"(128,)",0.5595573434832861
1,73,0.0027891545598863754,40,"(127,)",0.5567681889233997
1,74,0.0026883248272417948,91,"(126,)",0.5594565137506415
1,75,0.0023302410174915744,96,"(125,)",0.5617867547681331
1,76,0.0020930026651780897,17,"(124,)",0.559693752102955
1,77,0.002368621048211894,98,"(123,)",0.5620623731511669
1,78,0.002364038235355026,94,"(122,)",0.5644264113865219
1,79,0.0022391341878746918,38,"(121,)",0.5621872771986473
1,80,0.0022794223693204385,50,"(120,)",0.5599078548293268
1,81,0.002489311834195429,70,"(119,)",0.5574185429951314
