Bands,C,Gamma,Kernel,Train_Score,Test_Score,Train_Kappa,Test_Kappa,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
30,1,0.5,rbf,0.8652452619843924,0.8086560364464692,0.8449518926227162,0.778742600208287,0.999860646599777,1.0,0.9998410040038808,1.0
30,1,0.5,poly,0.9981884057971014,0.7035470224536283,0.9979329298578807,0.6520736611281874,1.0,1.0,1.0,1.0
30,1,0.1,rbf,0.774386845039019,0.7237227465017898,0.7379670579835595,0.677268492220729,0.9974916387959866,0.998372925479987,0.9971378624821895,0.9981475185308429
30,1,0.1,poly,0.9382664437012264,0.812886430198503,0.929429061373981,0.7835385540195328,0.9942865105908584,0.9954441913439636,0.9934786481338832,0.994811653194315
30,1,0.05,rbf,0.7203177257525084,0.6684022128213473,0.6724760933799688,0.6093630260581666,0.9942865105908584,0.9954441913439636,0.9934786481338832,0.9948120273370055
30,1,0.05,poly,0.8638517279821628,0.8106085258704848,0.8434500793026458,0.7810222356304894,0.9425863991081382,0.9443540514155548,0.9342170573309869,0.936379384364973
30,1,0.005,rbf,0.5291248606465998,0.5105759843800846,0.4275593048056332,0.4072781364150102,0.9158305462653289,0.9284087211194273,0.9030710501539707,0.917904496673545
30,1,0.005,poly,0.4527591973244147,0.4406117800195249,0.32500958227324717,0.3128486496808591,0.24122073578595318,0.2356003904978848,0.0,0.0
30,1,scale,rbf,0.778288740245262,0.7289293849658315,0.7426438614177568,0.6835012076689917,0.9994425863991081,0.9996745850959974,0.9993640110271766,0.9996295133097314
30,1,scale,poly,0.9445373467112598,0.8099576960624797,0.9366293589381922,0.7802177184762377,1.0,1.0,1.0,1.0
30,5,0.5,rbf,0.9492753623188406,0.8532378782948259,0.9420232249004059,0.8310901978487301,1.0,1.0,1.0,1.0
30,5,0.5,poly,1.0,0.6967133094695737,1.0,0.644279492448859,1.0,1.0,1.0,1.0
30,5,0.1,rbf,0.8694258639910813,0.8145135047185161,0.8498211968853349,0.7851715232964185,0.999860646599777,1.0,0.9998410040038808,1.0
30,5,0.1,poly,0.9672519509476031,0.7862024080702896,0.9626212447274457,0.7516778061226687,0.9979096989966555,0.9986983403839896,0.9976149727596387,0.9985180173261281
30,5,0.05,rbf,0.8320791527313266,0.7770907907582167,0.8062608771401063,0.7407087097769952,0.9977703455964325,0.9986983403839896,0.9974559642920339,0.9985180173261281
30,5,0.05,poly,0.9225195094760312,0.8177676537585421,0.9113219270694097,0.7898719521524242,0.9885730211817169,0.9947933615359583,0.986950365607186,0.994070407876536
30,5,0.005,rbf,0.6153846153846154,0.5860722421086886,0.5411186618129595,0.505944306787405,0.9898272017837235,0.9899121379759193,0.9883877726869396,0.9885110120640223
30,5,0.005,poly,0.5238294314381271,0.506996420436056,0.4208503439094873,0.4025879584824106,0.24122073578595318,0.2356003904978848,0.0,0.0
30,5,scale,rbf,0.8736064659977704,0.8167914090465344,0.8546669031189054,0.7878843013081885,1.0,1.0,1.0,1.0
30,5,scale,poly,0.9707357859531772,0.7712333224861698,0.9665975962575547,0.7337093640094292,1.0,1.0,1.0,1.0
30,10,0.5,rbf,0.9700390189520625,0.8516108037748129,0.9657729386189685,0.8291142412725628,1.0,1.0,1.0,1.0
30,10,0.5,poly,1.0,0.6967133094695737,1.0,0.644279492448859,1.0,1.0,1.0,1.0
30,10,0.1,rbf,0.9011984392419174,0.8301334201106411,0.8866901686163295,0.8037049827005033,1.0,1.0,1.0,1.0
30,10,0.1,poly,0.9763099219620959,0.7533355027660267,0.9729562513629447,0.7120800512817089,1.0,1.0,1.0,1.0
30,10,0.05,rbf,0.8664994425863991,0.812886430198503,0.8463916034002326,0.783240911936909,0.999860646599777,1.0,0.9998410040038808,1.0
30,10,0.05,poly,0.943561872909699,0.8089814513504718,0.9355081774454015,0.7790280547301089,0.9945652173913043,0.9954441913439636,0.9937968333936515,0.994811653194315
30,10,0.005,rbf,0.6998327759197325,0.6485519036771884,0.6470039176660732,0.5842492129604749,0.9942865105908584,0.9954441913439636,0.9934786481338832,0.9948120273370055
30,10,0.005,poly,0.5384615384615384,0.5167588675561341,0.4402530375576129,0.41565116843387795,0.379041248606466,0.3784575333550277,0.2394222719142558,0.2385099188849975
30,10,scale,rbf,0.9045429208472687,0.831760494630654,0.8905730823976524,0.8056887323165043,1.0,1.0,1.0,1.0
30,10,scale,poly,0.9793756967670011,0.7412951513179303,0.9764549266570859,0.697524727896871,1.0,1.0,1.0,1.0
30,50,0.5,rbf,0.9955406911928651,0.837617962902701,0.9949109553480611,0.8126675962672959,1.0,1.0,1.0,1.0
30,50,0.5,poly,1.0,0.6967133094695737,1.0,0.644279492448859,1.0,1.0,1.0,1.0
30,50,0.1,rbf,0.9576365663322185,0.8314350797266514,0.9516087332689138,0.8051600194030419,1.0,1.0,1.0,1.0
30,50,0.1,poly,0.9928929765886287,0.7178652782297429,0.9918897741827669,0.6705856999363499,1.0,1.0,1.0,1.0
30,50,0.05,rbf,0.9297658862876255,0.8154897494305239,0.919675222366487,0.7864129285569375,1.0,1.0,1.0,1.0
30,50,0.05,poly,0.9704570791527313,0.7725349821021803,0.9662797173024448,0.7352244985753704,0.9990245261984393,0.9996745850959974,0.998887010567816,0.9996295133097314
30,50,0.005,rbf,0.8200947603121517,0.7702570777741621,0.7922498254212651,0.732633398439257,0.9977703455964325,0.9986983403839896,0.9974559642920339,0.9985180173261281
30,50,0.005,poly,0.6511984392419174,0.6052717214448422,0.5872394866247556,0.5313759037474475,0.4591694537346711,0.4614383338756915,0.35310344340602595,0.35460363531520134
30,50,scale,rbf,0.95958751393534,0.8324113244386593,0.9538418532514551,0.8064144942253821,1.0,1.0,1.0,1.0
30,50,scale,poly,0.9937290969899666,0.7139602993817117,0.9928442488675047,0.6655475605054042,1.0,1.0,1.0,1.0
30,100,0.5,rbf,0.9988851727982163,0.8291571753986332,0.998727967602526,0.8029841942846396,1.0,1.0,1.0,1.0
30,100,0.5,poly,1.0,0.6967133094695737,1.0,0.644279492448859,1.0,1.0,1.0,1.0
30,100,0.1,rbf,0.9705964325529542,0.8281809306866255,0.966433267292913,0.8012304146827509,1.0,1.0,1.0,1.0
30,100,0.1,poly,0.9965161649944259,0.7058249267816465,0.9960248316403193,0.6551608223829821,1.0,1.0,1.0,1.0
30,100,0.05,rbf,0.9509476031215162,0.8096322811584771,0.9439601990049751,0.7790497679273138,1.0,1.0,1.0,1.0
30,100,0.05,poly,0.9790969899665551,0.7429222258379434,0.9761357458370911,0.6995176776440963,1.0,1.0,1.0,1.0
30,100,0.005,rbf,0.8497770345596433,0.7975919297103807,0.8271098127302787,0.7650637032550264,0.999860646599777,1.0,0.9998410040038808,1.0
30,100,0.005,poly,0.7345317725752508,0.6807679791734461,0.6898395421027278,0.6252106362838203,0.6124581939799331,0.6117800195248942,0.5412627339725549,0.5398687867164121
30,100,scale,rbf,0.9722686733556298,0.8294825903026358,0.9683405422052167,0.8027911583924582,1.0,1.0,1.0,1.0
30,100,scale,poly,0.9981884057971014,0.7019199479336153,0.9979329298578807,0.6502663505042179,1.0,1.0,1.0,1.0
30,500,0.5,rbf,1.0,0.8259030263586072,1.0,0.798905023108636,1.0,1.0,1.0,1.0
30,500,0.5,poly,1.0,0.6967133094695737,1.0,0.644279492448859,1.0,1.0,1.0,1.0
30,500,0.1,rbf,0.9924749163879598,0.8050764725024406,0.9914109462071673,0.7736617843236371,1.0,1.0,1.0,1.0
30,500,0.1,poly,1.0,0.6970387243735763,1.0,0.6447728348152453,1.0,1.0,1.0,1.0
30,500,0.05,rbf,0.9771460423634337,0.8067035470224536,0.9739072104571234,0.7758546716252925,1.0,1.0,1.0,1.0
30,500,0.05,poly,0.9937290969899666,0.7139602993817117,0.9928442488675047,0.6656183585835078,1.0,1.0,1.0,1.0
30,500,0.005,rbf,0.9057971014492754,0.8158151643345265,0.8920660788484891,0.7871733926055358,1.0,1.0,1.0,1.0
30,500,0.005,poly,0.8372352285395763,0.7875040676863,0.8123390711160525,0.753563056508826,0.9187569676700111,0.9173446143833388,0.9065843337922309,0.9051631713187065
30,500,scale,rbf,0.9934503901895206,0.8057273023104459,0.992525437672732,0.7744554991271831,1.0,1.0,1.0,1.0
30,500,scale,poly,1.0,0.6960624796615685,1.0,0.6436232156681609,1.0,1.0,1.0,1.0
