Bands,C,Gamma,Kernel,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
15,1,scale,rbf,0.9679746201369177,0.9130231470657002,0.9573908412031022,0.8809005357256656
16,1,scale,rbf,0.9548171648021373,0.9243239030473073,0.9398828605628657,0.8984940268731032
17,1,scale,rbf,0.9836366672232426,0.8692229756059543,0.9783315022680776,0.8232493170377019
18,1,scale,rbf,0.9793955585239605,0.9605642584365989,0.9726782554562593,0.9476607640484032
19,1,scale,rbf,0.9824344631825013,0.9081910996804614,0.9767232557208219,0.8768833006682011
20,1,scale,rbf,0.984705293037235,0.9771646792923389,0.9797223420412914,0.9695981550141085
21,1,scale,rbf,0.9557188178326933,0.9313381653807186,0.9409165766850199,0.9093014821624269
22,1,scale,rbf,0.9687093003840374,0.9456784350401372,0.9583472505068672,0.9282926588608582
23,1,scale,rbf,0.9774586742360996,0.8972800249395995,0.9701082684826534,0.8647001208055637
24,1,scale,rbf,0.977525463349474,0.9133348920582963,0.9701996924927743,0.8859252021849259
25,1,scale,rbf,0.9678744364668559,0.9328189540955498,0.9572327918580077,0.9113936096832782
26,1,scale,rbf,0.9636333277675739,0.939053853947471,0.9515537839223089,0.9195609456004251
27,1,scale,rbf,0.9630656203038904,0.9622788558958771,0.9507665587681032,0.9495911043446178
