Bands,C,Gamma,Kernel,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
15,50,scale,rbf,0.8069955406911928,0.5948584445167588,0.7782124968393012,0.534743971372639
16,50,scale,rbf,0.8060200668896321,0.49951187764399607,0.7771194166517209,0.4219537929851078
17,50,scale,rbf,0.8189799331103679,0.5239179954441914,0.7921151089148236,0.45513774990431766
18,50,scale,rbf,0.8244147157190636,0.491376505043931,0.7985310289502018,0.4239254896622363
19,50,scale,rbf,0.8283166109253066,0.5434428896843475,0.80300633508994,0.4812079808473526
20,50,scale,rbf,0.8327759197324415,0.6052717214448422,0.8080915426875305,0.5493548211992795
21,50,scale,rbf,0.8331939799331104,0.6605922551252847,0.8085894475722857,0.6108509004373943
22,50,scale,rbf,0.8379319955406912,0.6426944354051416,0.8140445756227612,0.59048954776526
23,50,scale,rbf,0.8411371237458194,0.6657988935893264,0.8177642478441337,0.6142809983858563
24,50,scale,rbf,0.842809364548495,0.6849983729254799,0.8196748825902532,0.6362969897761623
25,50,scale,rbf,0.8460144927536232,0.6033192320208266,0.8233768240183891,0.5448275903968738
26,50,scale,rbf,0.8462931995540691,0.6404165310771234,0.8237771282263486,0.5855925000951913
27,50,scale,rbf,0.8471293199554069,0.6684022128213473,0.8247306566544377,0.6159937065578354
28,50,scale,rbf,0.8450390189520625,0.6449723397331598,0.8223124319786105,0.591633279061346
29,50,scale,rbf,0.8488015607580826,0.6807679791734461,0.8266672686370153,0.6309771473919588
30,50,scale,rbf,0.846850613154961,0.681744223885454,0.8243903638201785,0.6330309440735551
31,50,scale,rbf,0.8475473801560758,0.6849983729254799,0.8251108375157907,0.6379117013377478
32,50,scale,rbf,0.8596711259754738,0.6967133094695737,0.8391922932276449,0.652200502432805
33,50,scale,rbf,0.8609253065774805,0.7019199479336153,0.840654937281998,0.6579368211884475
34,50,scale,rbf,0.8619007803790413,0.7002928734136024,0.8417264204801465,0.6561359791268639
35,50,scale,rbf,0.8685897435897436,0.7113569801496908,0.8494627952001385,0.6670526976936102
36,50,scale,rbf,0.867056856187291,0.6950862349495607,0.847683240954497,0.6507754640073508
37,50,scale,rbf,0.8722129319955407,0.6947608200455581,0.8535727272175018,0.6505538090160234
38,50,scale,rbf,0.8705406911928651,0.6996420436055971,0.8516820665226613,0.6558386404676281
39,50,scale,rbf,0.8706800445930881,0.7032216075496258,0.8517946837661525,0.6601088349901947
