Bands,C,Gamma,Kernel,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
10,1,scale,rbf,0.7959592586408415,0.7834931026420389,0.7180162910721208,0.697062045124266
11,1,scale,rbf,0.7970612790115211,0.7821681864235056,0.7196349188848876,0.6948382047425232
12,1,scale,rbf,0.7963933878777759,0.7867664250642974,0.7187451507230828,0.7019412188304163
13,1,scale,rbf,0.8029721155451661,0.7716467929233887,0.7279030273436593,0.6798148673441318
14,1,scale,rbf,0.8084488228418768,0.7654118930714675,0.735483687589243,0.6707915882756137
15,1,scale,rbf,0.8343296042745033,0.8092900007793625,0.7738019906915843,0.7354163968474822
16,1,scale,rbf,0.8336283185840708,0.8004832047385239,0.7726619304448838,0.7219093344963792
17,1,scale,rbf,0.8373351143763567,0.8025874834385472,0.7778356257582187,0.7247856212852513
18,1,scale,rbf,0.8379362163967273,0.8139661756683033,0.7787005359047476,0.7427230805171852
19,1,scale,rbf,0.8369343796961095,0.8185644143090952,0.7773515747957226,0.7489400314366154
20,1,scale,rbf,0.8366672232426114,0.8187982230535422,0.7769686470011232,0.7492998595143208
21,1,scale,rbf,0.8356653865419936,0.8112384069830878,0.7754872758310625,0.7381900247651672
22,1,scale,rbf,0.8360327266655535,0.8145896656534954,0.7759907150702259,0.7427680864737526
23,1,scale,rbf,0.8405409918183336,0.823396461694334,0.7823691270283708,0.7561283261034618
24,1,scale,rbf,0.8531975288028052,0.8327488114722157,0.8000217709416052,0.7707658669580139
25,1,scale,rbf,0.8586074469861412,0.8411659262723092,0.8077172061403457,0.783966653364085
